Russian,English
время,time
мужчина,man
путь,way
люди,people
жизнь,life
день,day
работа,work
звонок,call
ночь,night
дом,home
мысль,thought
деньги,money
имя,name
отец,father
парень,guy
место,place
чувство,feel
девушка,girl
дом,house
лево,left
право,right
мать,mother
курс,course
папа,dad
сын,son
автомобиль,car
женщина,woman
друг,friend
разум,mind
голова,head
мама,mom
мальчик,boy
работа,job
младенец,baby
семья,family
комната,room
брат,brother
голова,head
идея,idea
жена,wife
начало,start
дверь,door
кусок,bit
вопрос,matter
бег,run
школа,school
игра,play
проблема,problem
конец,end
телефон,phone
надежда,hope
отговорка,excuse
лицо,face
поворот,turn
полиция,police
сердце,heart
забота,worry
бизнес,business
часы,watch
год,year
рука,hand
врач,doctor
сидение,sit
секунда,second
ребенок,kid
оплата,pay
вода,water
смерть,death
вещи,stuff
минута,minute
часть,part
человек,person
напиток,drink
изменение,change
удар,hit
чек,check
музыка,music
сон,sleep
моя,mine
сделка,deal
точка,point
тело,body
дорогой,dear
шанс,chance
близость,close
вечеринка,party
дочь,daughter
слово,word
веселье,fun
номер,number
рассказ,story
набор,set
муж,husband
огонь,fire
бой,fight
отдых,rest
момент,moment
неделя,week
игра,game
порез,cut
сестра,sister
ребенок,child
сторона,side
кровь,blood
правда,truth
дама,lady
выстрел,shot
война,war
перерыв,break
прогулка,walk
причина,reason
беда,trouble
город,city
городок,town
доверие,trust
вопрос,question
офис,office
половина,half
приветствие,welcome
пара,couple
спешка,hurry
мед,honey
власть,power
кровать,bed
передок,front
ответ,answer
пистолет,gun
линия,line
команда,team
новость,news
капитан,captain
ненависть,hate
собака,dog
еда,food
свет,light
заказ,order
страна,country
выбор,pick
факт,fact
черный,black
босс,boss
причина,cause
ужин,dinner
обещание,promise
план,plan
вид,sort
книга,book
час,hour
дядя,uncle
сейф,safe
выстрел,shoot
прикосновение,touch
компания,company
прошлое,past
сука,bitch
звук,sound
волосы,hair
человек,human
вождение,drive
удача,luck
вершина,top
победа,win
управление,control
холод,cold
воздух,air
мастер,master
танец,dance
секс,sex
другие,others
больница,hospital
улица,street
